,episode,iteration,reward,gamma
0,14.0,1.0,-1.0,0.4
1,14.0,2.0,-1.4,0.4
2,14.0,3.0,-1.56,0.4
3,14.0,4.0,-1.624,0.4
4,14.0,5.0,-1.6496000000000002,0.4
5,14.0,6.0,-1.6598400000000002,0.4
6,14.0,7.0,-1.6639360000000003,0.4
7,14.0,8.0,-1.6655744000000003,0.4
8,14.0,9.0,-1.6662297600000004,0.4
9,14.0,10.0,-1.6664919040000004,0.4
10,14.0,11.0,-1.6665967616000004,0.4
11,14.0,12.0,-1.6666387046400004,0.4
12,14.0,13.0,-1.6666554818560004,0.4
13,14.0,14.0,-1.6666621927424004,0.4
14,14.0,15.0,-1.6666085056512003,0.4
