,episode,iteration,reward,gamma
0,9.0,1.0,-1.0,0.5
1,9.0,2.0,-1.5,0.5
2,9.0,3.0,-1.75,0.5
3,9.0,4.0,-1.875,0.5
4,9.0,5.0,-1.9375,0.5
5,9.0,6.0,-1.96875,0.5
6,9.0,7.0,-1.984375,0.5
7,9.0,8.0,-1.9921875,0.5
8,9.0,9.0,-1.99609375,0.5
9,9.0,10.0,-1.998046875,0.5
10,9.0,11.0,-1.9990234375,0.5
11,9.0,12.0,-1.99951171875,0.5
12,9.0,13.0,-1.999755859375,0.5
13,9.0,14.0,-1.9998779296875,0.5
14,9.0,15.0,-1.99993896484375,0.5
15,9.0,16.0,-1.999969482421875,0.5
16,9.0,17.0,-1.999664306640625,0.5
