,episode,iteration,reward,gamma
0,51.0,1.0,-1.0,0.5
1,51.0,2.0,-1.5,0.5
2,51.0,3.0,-1.75,0.5
3,51.0,4.0,-1.875,0.5
4,51.0,5.0,-1.9375,0.5
5,51.0,6.0,-1.96875,0.5
6,51.0,7.0,-1.984375,0.5
7,51.0,8.0,-1.9921875,0.5
8,51.0,9.0,-1.99609375,0.5
9,51.0,10.0,-1.998046875,0.5
10,51.0,11.0,-1.9990234375,0.5
11,51.0,12.0,-1.99951171875,0.5
12,51.0,13.0,-1.999755859375,0.5
13,51.0,14.0,-1.9998779296875,0.5
14,51.0,15.0,-1.99993896484375,0.5
15,51.0,16.0,-1.999969482421875,0.5
16,51.0,17.0,-1.999664306640625,0.5
