,episode,iteration,reward,gamma
0,3.0,1.0,-1.0,0.7
1,3.0,2.0,-1.7,0.7
2,3.0,3.0,-2.19,0.7
3,3.0,4.0,-2.533,0.7
4,3.0,5.0,-2.7731,0.7
5,3.0,6.0,-2.9411699999999996,0.7
6,3.0,7.0,-3.0588189999999997,0.7
7,3.0,8.0,-3.1411732999999997,0.7
8,3.0,9.0,-3.1988213099999996,0.7
9,3.0,10.0,-3.2391749169999997,0.7
10,3.0,11.0,-3.2674224418999995,0.7
11,3.0,12.0,-3.2871957093299997,0.7
12,3.0,13.0,-3.301036996531,0.7
13,3.0,14.0,-3.3107258975716998,0.7
14,3.0,15.0,-3.3175081283001897,0.7
15,3.0,16.0,-3.3222556898101328,0.7
16,3.0,17.0,-3.3255789828670927,0.7
17,3.0,18.0,-3.2790528800696515,0.7
