,episode,iteration,reward,gamma
0,52.0,1.0,-1.0,0.5
1,52.0,2.0,-1.5,0.5
2,52.0,3.0,-1.75,0.5
3,52.0,4.0,-1.875,0.5
4,52.0,5.0,-1.9375,0.5
5,52.0,6.0,-1.96875,0.5
6,52.0,7.0,-1.984375,0.5
7,52.0,8.0,-1.9921875,0.5
8,52.0,9.0,-1.99609375,0.5
9,52.0,10.0,-1.998046875,0.5
10,52.0,11.0,-1.9990234375,0.5
11,52.0,12.0,-1.99951171875,0.5
12,52.0,13.0,-1.999755859375,0.5
13,52.0,14.0,-1.9998779296875,0.5
14,52.0,15.0,-1.99993896484375,0.5
15,52.0,16.0,-1.99932861328125,0.5
