,episode,iteration,reward,gamma
0,74.0,1.0,-1.0,0.6
1,74.0,2.0,-1.6,0.6
2,74.0,3.0,-1.96,0.6
3,74.0,4.0,-2.176,0.6
4,74.0,5.0,-2.3056,0.6
5,74.0,6.0,-2.38336,0.6
6,74.0,7.0,-2.430016,0.6
7,74.0,8.0,-2.4580096,0.6
8,74.0,9.0,-2.47480576,0.6
9,74.0,10.0,-2.4848834560000004,0.6
10,74.0,11.0,-2.4909300736000004,0.6
11,74.0,12.0,-2.4945580441600006,0.6
12,74.0,13.0,-2.4967348264960005,0.6
13,74.0,14.0,-2.4980408958976006,0.6
14,74.0,15.0,-2.4988245375385607,0.6
15,74.0,16.0,-2.499294722523137,0.6
16,74.0,17.0,-2.493652502708225,0.6
