,episode,iteration,reward,gamma
0,2.0,1.0,-1.0,0.4
1,2.0,2.0,-1.4,0.4
2,2.0,3.0,-1.56,0.4
3,2.0,4.0,-1.624,0.4
4,2.0,5.0,-1.6496000000000002,0.4
5,2.0,6.0,-1.6598400000000002,0.4
6,2.0,7.0,-1.6639360000000003,0.4
7,2.0,8.0,-1.6655744000000003,0.4
8,2.0,9.0,-1.6662297600000004,0.4
9,2.0,10.0,-1.6664919040000004,0.4
10,2.0,11.0,-1.6665967616000004,0.4
11,2.0,12.0,-1.6666387046400004,0.4
12,2.0,13.0,-1.6666554818560004,0.4
13,2.0,14.0,-1.6666621927424004,0.4
14,2.0,15.0,-1.6666648770969603,0.4
15,2.0,16.0,-1.6666659508387842,0.4
16,2.0,17.0,-1.6666663803355137,0.4
17,2.0,18.0,-1.6666665521342057,0.4
18,2.0,19.0,-1.6666666208536824,0.4
19,2.0,20.0,-1.6666666483414732,0.4
20,2.0,21.0,-1.6666666593365895,0.4
21,2.0,22.0,-1.6666666637346361,0.4
22,2.0,23.0,-1.6666666654938547,0.4
23,2.0,24.0,-1.6666666661975422,0.4
24,2.0,25.0,-1.6666666664790173,0.4
25,2.0,26.0,-1.6666666665916072,0.4
26,2.0,27.0,-1.6666666666366432,0.4
27,2.0,28.0,-1.6666666666546577,0.4
28,2.0,29.0,-1.6666666666618635,0.4
29,2.0,30.0,-1.6666666666647458,0.4
30,2.0,31.0,-1.6666666666658987,0.4
31,2.0,32.0,-1.6666666666663599,0.4
32,2.0,33.0,-1.6666666666665444,0.4
33,2.0,34.0,-1.6666666666666181,0.4
34,2.0,35.0,-1.6666666666666476,0.4
35,2.0,36.0,-1.6666666666666594,0.4
36,2.0,37.0,-1.666666666666664,0.4
37,2.0,38.0,-1.666666666666666,0.4
38,2.0,39.0,-1.6666666666666667,0.4
39,2.0,40.0,-1.666666666666667,0.4
40,2.0,41.0,-1.6666666666666672,0.4
41,2.0,42.0,-1.6666666666666672,0.4
42,2.0,43.0,-1.6666666666666672,0.4
43,2.0,44.0,-1.6666666666666672,0.4
44,2.0,45.0,-1.6666666666666672,0.4
45,2.0,46.0,-1.6666666666666672,0.4
46,2.0,47.0,-1.6666666666666672,0.4
47,2.0,48.0,-1.6666666666666672,0.4
48,2.0,49.0,-1.6666666666666672,0.4
49,2.0,50.0,-1.6666666666666672,0.4
50,2.0,51.0,-1.6666666666666672,0.4
51,2.0,52.0,-1.6666666666666672,0.4
52,2.0,53.0,-1.6666666666666672,0.4
53,2.0,54.0,-1.6666666666666672,0.4
54,2.0,55.0,-1.6666666666666672,0.4
55,2.0,56.0,-1.6666666666666672,0.4
56,2.0,57.0,-1.6666666666666672,0.4
57,2.0,58.0,-1.6666666666666672,0.4
58,2.0,59.0,-1.6666666666666672,0.4
59,2.0,60.0,-1.6666666666666672,0.4
60,2.0,61.0,-1.6666666666666672,0.4
61,2.0,62.0,-1.6666666666666672,0.4
62,2.0,63.0,-1.6666666666666672,0.4
63,2.0,64.0,-1.6666666666666672,0.4
64,2.0,65.0,-1.6666666666666672,0.4
65,2.0,66.0,-1.6666666666666672,0.4
66,2.0,67.0,-1.6666666666666672,0.4
67,2.0,68.0,-1.6666666666666672,0.4
68,2.0,69.0,-1.6666666666666672,0.4
69,2.0,70.0,-1.6666666666666672,0.4
70,2.0,71.0,-1.6666666666666672,0.4
71,2.0,72.0,-1.6666666666666672,0.4
72,2.0,73.0,-1.6666666666666672,0.4
73,2.0,74.0,-1.6666666666666672,0.4
74,2.0,75.0,-1.6666666666666672,0.4
75,2.0,76.0,-1.6666666666666672,0.4
76,2.0,77.0,-1.6666666666666672,0.4
77,2.0,78.0,-1.6666666666666672,0.4
78,2.0,79.0,-1.6666666666666672,0.4
79,2.0,80.0,-1.6666666666666672,0.4
80,2.0,81.0,-1.6666666666666672,0.4
81,2.0,82.0,-1.6666666666666672,0.4
82,2.0,83.0,-1.6666666666666672,0.4
83,2.0,84.0,-1.6666666666666672,0.4
84,2.0,85.0,-1.6666666666666672,0.4
