,episode,iteration,reward,gamma
0,32.0,1.0,-1.0,0.8
1,32.0,2.0,-1.8,0.8
2,32.0,3.0,-2.4400000000000004,0.8
3,32.0,4.0,-2.9520000000000004,0.8
4,32.0,5.0,-3.3616000000000006,0.8
5,32.0,6.0,-3.6892800000000006,0.8
6,32.0,7.0,-3.9514240000000007,0.8
7,32.0,8.0,-4.161139200000001,0.8
8,32.0,9.0,-4.328911360000001,0.8
9,32.0,10.0,-4.463129088000001,0.8
10,32.0,11.0,-4.5705032704000015,0.8
11,32.0,12.0,-4.656402616320001,0.8
12,32.0,13.0,-4.725122093056001,0.8
13,32.0,14.0,-4.780097674444801,0.8
14,32.0,15.0,-4.824078139555841,0.8
15,32.0,16.0,-4.1203906977792,0.8
