,episode,iteration,reward,gamma
0,69.0,1.0,-1.0,0.4
1,69.0,2.0,-1.4,0.4
2,69.0,3.0,-1.56,0.4
3,69.0,4.0,-1.624,0.4
4,69.0,5.0,-1.6496000000000002,0.4
5,69.0,6.0,-1.6598400000000002,0.4
6,69.0,7.0,-1.6639360000000003,0.4
7,69.0,8.0,-1.6655744000000003,0.4
8,69.0,9.0,-1.6662297600000004,0.4
9,69.0,10.0,-1.6664919040000004,0.4
10,69.0,11.0,-1.6665967616000004,0.4
11,69.0,12.0,-1.6666387046400004,0.4
12,69.0,13.0,-1.6666554818560004,0.4
13,69.0,14.0,-1.6666621927424004,0.4
14,69.0,15.0,-1.6666085056512003,0.4
